base,TID,NAME,WIDTH,HEIGHT,OX,OY,SX,SY,EX,EY
tileinfo,0,WALL_BRICK_DARK_1_1,32,32,0,0,32,0,64,32
tileinfo,1,WALL_BRICK_DARK_1_2,32,32,0,0,64,0,96,32
tileinfo,2,WALL_BRICK_DARK_1_3,32,32,0,0,96,0,128,32
tileinfo,3,WALL_BRICK_DARK_1_4,32,32,0,0,128,0,160,32
tileinfo,4,WALL_BRICK_DARK_1_5,32,32,0,0,160,0,192,32
tileinfo,5,WALL_BRICK_DARK_1_6,32,32,0,0,192,0,224,32
tileinfo,6,WALL_BRICK_DARK_1_7,32,32,0,0,224,0,256,32
tileinfo,7,WALL_BRICK_DARK_1_8,32,32,0,0,256,0,288,32
tileinfo,8,WALL_BRICK_DARK_1_9,32,32,0,0,288,0,320,32
tileinfo,9,WALL_BRICK_DARK_1_10,32,32,0,0,320,0,352,32
tileinfo,10,WALL_BRICK_DARK_1_11,32,32,0,0,352,0,384,32
tileinfo,11,WALL_BRICK_DARK_2,32,32,0,0,384,0,416,32
tileinfo,12,WALL_BRICK_DARK_2_1,32,32,0,0,416,0,448,32
tileinfo,13,WALL_BRICK_DARK_2_2,32,32,0,0,448,0,480,32
tileinfo,14,WALL_BRICK_DARK_2_3,32,32,0,0,480,0,512,32
tileinfo,15,WALL_BRICK_DARK_2_4,32,32,0,0,512,0,544,32
tileinfo,16,WALL_BRICK_DARK_2_5,32,32,0,0,544,0,576,32
tileinfo,17,WALL_BRICK_DARK_2_6,32,32,0,0,576,0,608,32
tileinfo,18,WALL_BRICK_DARK_2_7,32,32,0,0,608,0,640,32
tileinfo,19,WALL_BRICK_DARK_2_TORCH,32,32,0,0,640,0,672,32
tileinfo,20,WALL_BRICK_DARK_2_TORCH_1,32,32,0,0,672,0,704,32
tileinfo,21,WALL_BRICK_DARK_2_TORCH_2,32,32,0,0,704,0,736,32
tileinfo,22,WALL_BRICK_DARK_2_TORCH_3,32,32,0,0,736,0,768,32
tileinfo,23,WALL_BRICK_DARK_3,32,32,0,0,768,0,800,32
tileinfo,24,WALL_BRICK_DARK_3_1,32,32,0,0,800,0,832,32
tileinfo,25,WALL_BRICK_DARK_3_2,32,32,0,0,832,0,864,32
tileinfo,26,WALL_BRICK_DARK_3_3,32,32,0,0,864,0,896,32
tileinfo,27,WALL_BRICK_DARK_3_4,32,32,0,0,896,0,928,32
tileinfo,28,WALL_BRICK_DARK_3_5,32,32,0,0,928,0,960,32
tileinfo,29,WALL_BRICK_DARK_3_6,32,32,0,0,960,0,992,32
tileinfo,30,WALL_BRICK_DARK_3_7,32,32,0,0,992,0,1024,32
tileinfo,31,WALL_BRICK_DARK_3_8,32,32,0,0,0,32,32,64
tileinfo,32,WALL_BRICK_DARK_3_9,32,32,0,0,32,32,64,64
tileinfo,33,WALL_BRICK_DARK_3_10,32,32,0,0,64,32,96,64
tileinfo,34,WALL_BRICK_DARK_3_11,32,32,0,0,96,32,128,64
tileinfo,35,WALL_BRICK_DARK_3_12,32,32,0,0,128,32,160,64
tileinfo,36,WALL_BRICK_DARK_3_13,32,32,0,0,160,32,192,64
tileinfo,37,WALL_BRICK_DARK_3_14,32,32,0,0,192,32,224,64
tileinfo,38,WALL_BRICK_DARK_3_15,32,32,0,0,224,32,256,64
tileinfo,39,WALL_BRICK_DARK_4,32,32,0,0,256,32,288,64
tileinfo,40,WALL_BRICK_DARK_4_1,32,32,0,0,288,32,320,64
tileinfo,41,WALL_BRICK_DARK_4_2,32,32,0,0,320,32,352,64
tileinfo,42,WALL_BRICK_DARK_4_3,32,32,0,0,352,32,384,64
tileinfo,43,WALL_BRICK_DARK_4_4,32,32,0,0,384,32,416,64
tileinfo,44,WALL_BRICK_DARK_4_5,32,32,0,0,416,32,448,64
tileinfo,45,WALL_BRICK_DARK_4_6,32,32,0,0,448,32,480,64
tileinfo,46,WALL_BRICK_DARK_4_7,32,32,0,0,480,32,512,64
tileinfo,47,WALL_BRICK_DARK_4_8,32,32,0,0,512,32,544,64
tileinfo,48,WALL_BRICK_DARK_4_9,32,32,0,0,544,32,576,64
tileinfo,49,WALL_BRICK_DARK_4_10,32,32,0,0,576,32,608,64
tileinfo,50,WALL_BRICK_DARK_4_11,32,32,0,0,608,32,640,64
tileinfo,51,WALL_BRICK_DARK_4_TORCH,32,32,0,0,640,32,672,64
tileinfo,52,WALL_BRICK_DARK_4_TORCH_1,32,32,0,0,672,32,704,64
tileinfo,53,WALL_BRICK_DARK_4_TORCH_2,32,32,0,0,704,32,736,64
tileinfo,54,WALL_BRICK_DARK_4_TORCH_3,32,32,0,0,736,32,768,64
tileinfo,55,WALL_BRICK_DARK_5,32,32,0,0,768,32,800,64
tileinfo,56,WALL_BRICK_DARK_5_1,32,32,0,0,800,32,832,64
tileinfo,57,WALL_BRICK_DARK_5_2,32,32,0,0,832,32,864,64
tileinfo,58,WALL_BRICK_DARK_5_3,32,32,0,0,864,32,896,64
tileinfo,59,WALL_BRICK_DARK_5_4,32,32,0,0,896,32,928,64
tileinfo,60,WALL_BRICK_DARK_5_5,32,32,0,0,928,32,960,64
tileinfo,61,WALL_BRICK_DARK_5_6,32,32,0,0,960,32,992,64
tileinfo,62,WALL_BRICK_DARK_5_7,32,32,0,0,992,32,1024,64
tileinfo,63,WALL_BRICK_DARK_5_8,32,32,0,0,0,64,32,96
tileinfo,64,WALL_BRICK_DARK_5_9,32,32,0,0,32,64,64,96
tileinfo,65,WALL_BRICK_DARK_5_10,32,32,0,0,64,64,96,96
tileinfo,66,WALL_BRICK_DARK_5_11,32,32,0,0,96,64,128,96
tileinfo,67,WALL_BRICK_DARK_5_12,32,32,0,0,128,64,160,96
tileinfo,68,WALL_BRICK_DARK_5_13,32,32,0,0,160,64,192,96
tileinfo,69,WALL_BRICK_DARK_5_14,32,32,0,0,192,64,224,96
tileinfo,70,WALL_BRICK_DARK_5_15,32,32,0,0,224,64,256,96
tileinfo,71,WALL_BRICK_DARK_5_16,32,32,0,0,256,64,288,96
tileinfo,72,WALL_BRICK_DARK_5_17,32,32,0,0,288,64,320,96
tileinfo,73,WALL_BRICK_DARK_5_18,32,32,0,0,320,64,352,96
tileinfo,74,WALL_BRICK_DARK_5_19,32,32,0,0,352,64,384,96
tileinfo,75,WALL_BRICK_DARK_6,32,32,0,0,384,64,416,96
tileinfo,76,WALL_BRICK_DARK_6_1,32,32,0,0,416,64,448,96
tileinfo,77,WALL_BRICK_DARK_6_2,32,32,0,0,448,64,480,96
